entity_id,region_code,region_name,country_code,country_name,revenue,overall_score,environmental_score,social_score,governance_score,target_scope_1,target_scope_2,revenue_log,activity_type,activity_code,env_score_adjustment,env_score_adjustment_capped,nace_level_1_code,nace_level_1_name,nace_level_2_code,nace_level_2_name,revenue_pct,sdg_id,sdg_name,Sector_Comp_1,Sector_Comp_2,Sector_Comp_3,Sector_Comp_4,Sector_Comp_5,Sector_Comp_6,Sector_Comp_7,Sector_Comp_8,Sector_Comp_9,Sector_Comp_10,num_activities,avg_env_score_adjustment,has_activity,revenue_x_environmental_score,revenue_x_governance_score,E_x_S,S_x_G,country_ts2_per_revenue,target_scope_1_log,target_scope_2_log,sector_avg_scope2_log,sector_median_scope2_log,country_avg_scope2_log,country_avg_scope2_per_revenue,country_avg_esg,rev_x_env,rev_x_gov,env_x_gov,esg_sum,sector1_x_country,ESG_Comp_1,ESG_Comp_2
29,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,10912700000.0,2.164,2.381,1.955,2.024,24850.0,30357.0,23.11319308564177,Operation,MTH001,-1.5,-1.0,J,Information and communication,61,Telecommunications,0.75,9.0,"Industry, Innovation and Infrastructure",-0.1399525028356717,-0.1569529439343811,-0.0702325123681375,-0.0941974431020294,-0.2952887408677432,0.0445750185726449,-0.2467989105041423,0.0835527520798604,0.1310320030155243,-0.3301761581966178,2,-1.5,1,25983138700.0,22087304800.0,4.654855,3.95692,9.190606958410844e-06,10.120653272163802,10.320815353186804,7.153019837360215,8.058960017769417,7.839892076213068,9.367221878971305e-06,3.5126612903225807,25983138699.999996,22087304800.0,4.819144,6.36,-1.2862484464085378e-06,6284317375.319338,1.3498877116570647
37,WEU,Western Europe,ES,Spain,1279737000.0,3.796,4.05,3.8,3.333,10327.0,22314.0,20.96992042579776,Other,ENVIB010,-0.1,-0.1,I,Accommodation And Food Service Activities,56,Food and beverage service activities,1.0,16.0,"Peace, Justice and Strong Institutions",-0.1445729755441853,-0.1753455869549384,-0.1513748349729363,0.9842530297519932,0.0666818729714831,-0.030420675183734,0.0804297867637858,0.1269337797768214,-0.2238882367845519,-0.1611723258683164,1,-0.1,1,5182934850.0,4265363421.0,15.39,12.6654,1.0041005413315722e-05,9.242613932526478,10.01301437706337,9.140650932404782,8.977332814996963,7.863797924974199,1.3146993856228642e-05,3.476777777777778,5182934850.0,4265363421.0,13.49865,11.183,-1.451658030058326e-06,-3348645624.680648,-0.9968684104493123
46,EEU,Eastern Europe,EE,Estonia,492307000.0,2.988,3.172,3.0,2.643,36653.0,89702.0,20.014613065630765,Transportation,H.50.62.B,-0.002204347,-0.002204347,E,"Water Supply; Sewerage, Waste Management And Remediation Activities",38,"Waste collection, recovery and disposal activities",0.049273762,12.0,Responsible Consumption and Production,-0.311913408122181,0.1313046145801828,-0.1153874666153555,-0.2562750131352754,-0.4194935174122478,-0.0786926353311618,-0.5452629227181937,0.4639131340830217,-0.5085575212046913,-0.8222782936424387,18,-0.045526462,1,1561597804.0,1301167401.0,9.516,7.928999999999999,0.0001822074437292,10.509277841877822,11.404259492303677,9.878645376295326,10.00250724868624,11.404259492303677,0.00018220744372921774,3.172,1561597804.0,1301167401.0,8.383595999999999,8.815000000000001,-5.683294475880529e-05,-4136075624.6806736,0.15745462408052163
58,WEU,Western Europe,NO,Norway,655579000.0,3.682,4.566,3.084,2.81,231720.0,3401.0,20.30102937411963,Other,ENVIB025,-0.25,-0.25,I,Accommodation And Food Service Activities,55,Accommodation,0.281057441,8.0,Decent Work and Economic Growth,-0.3561052530303132,-0.5007140834567876,-0.8189984184927371,6.367926259426223,2.09365846787341,0.7367705847335644,0.9860347885915364,0.9233084048540172,-0.7919783346654152,-0.3473243010601045,4,-0.1812114885,1,2993373714.0,1842176990.0,14.081544,8.66604,5.222593576580707e-05,12.353289340754502,8.132118772955806,11.467454821592321,11.515295420396779,10.031882372979657,0.00013120768568434868,3.4763333333333333,2993373714.0,1842176990.0,12.83046,10.46,-1.8597930070627612e-05,-3972803624.680646,-1.1948825517726256
60,WEU,Western Europe,IT,Italy,787000000.0,1.902,1.34,2.9,1.714,416298.0,85145.0,20.48373880765233,Operation,MTH002,-0.1,-0.1,C,Manufacturing,17,Manufacture of paper and paper products,1.0,12.0,Responsible Consumption and Production,-0.1529565426914569,-0.1309264989553525,-0.0774411190552639,-0.1252216090949841,-0.1122056981619478,-0.0523757859792102,-0.1682299079315361,0.0378164914604181,-0.2426304934872025,-0.3575008440642724,1,-0.1,1,1054580000.0,1348918000.0,3.886,4.9706,2.691973307029712e-05,12.93915903106632,11.352122709062591,11.437598491360752,11.352122709062591,8.134111131229867,1.6641820628839708e-05,3.315925925925926,1054580000.0000001,1348918000.0,2.29676,5.954000000000001,-4.117549300609525e-06,-3841382624.68065,2.00491166326085
63,WEU,Western Europe,FR,France,1926233000.0,2.908,3.65,1.797,2.905,12879.0,6132.0,21.378832119640776,Operation,Q.86.2.B,-0.1,-0.1,Q,Education,86,Human health activities,0.5,3.0,Good Health and Wellbeing,-0.3096720404193911,-0.4413521698993065,-0.5699940838996846,-1.9039140991863857,-0.4900433009505258,-3.175684322706139,10.355814072825062,-2.054903718193991,0.762958108249461,2.123974940950418,4,0.075,1,7030750450.0,5595706865.0,6.559049999999999,5.220285,1.4630044194219064e-05,9.463430999658344,8.721439305625983,8.71556534091598,8.721439305625983,8.555753572198892,8.915957793295588e-06,3.3401162790697674,7030750450.0,5595706865.0,10.60325,8.352,-4.530515637049684e-06,-2702149624.680654,0.08505260619853354
66,WEU,Western Europe,FR,France,4800000000.0,2.971,3.215,3.593,1.786,17567.0,5803.0,22.29188175506859,Operation,MTH002,-0.1,-0.1,R,Human Health And Social Work Activities,92,Gambling and betting activities,0.303080766,3.0,Good Health and Wellbeing,-0.1897909445792985,-0.1806593847416431,-0.0861822699303329,-0.0777897899974604,-0.2453244831958714,-0.0536731387977042,-0.1761944624976845,0.1199057750543875,-0.1603926352067556,-0.2422024609159899,2,-0.1,1,15432000000.0,8572800000.0,11.551495,6.417098,1.4630044194219064e-05,9.773834344309256,8.666302614004078,8.000384769155028,8.666302614004078,8.555753572198892,8.915957793295588e-06,3.3401162790697674,15432000000.0,8572800000.0,5.7419899999999995,8.594,-2.776649906857718e-06,171617375.31934905,0.025643736442531588
87,WEU,Western Europe,IT,Italy,568178000.0,2.726,3.0,2.677,2.286,2440.0,447.22,20.15794530963378,Operation,MTH002,-0.1,-0.1,J,Information and communication,58,Publishing activities,1.0,9.0,"Industry, Innovation and Infrastructure",-0.1878194664882237,-0.2076881689171549,-0.0993701485199848,-0.1593879601672236,-0.2735571892775802,-0.0397704730539489,-0.2132360675888912,0.5696362370311697,-0.0621378570808253,-0.4277003752184136,1,-0.1,1,1704534000.0,1298854908.0,8.031,6.119622000000001,2.691973307029712e-05,7.80016307039296,6.105284183307442,7.575414016329099,8.123854263105914,8.134111131229867,1.6641820628839708e-05,3.315925925925926,1704534000.0,1298854908.0,6.8580000000000005,7.962999999999999,-5.056049903268597e-06,-4060204624.6806526,0.4617447330556016
90,WEU,Western Europe,IT,Italy,686200000.0,3.181,3.957,2.585,2.5,46555.0,29729.0,20.346679689845924,Other,ENVIB010,-0.1,-0.1,C,Manufacturing,20,Manufacture of chemicals and chemical products,1.0,3.0,Good Health and Wellbeing,-0.1292209714998991,-0.0588249862110991,-0.1330587678184051,-0.2242079399675828,-0.0434914597081014,-0.0705133708190663,-0.1216459936173295,0.1115193765404074,-0.2741815124568212,-0.2406238726585232,1,-0.1,1,2715293400.0,1715500000.0,10.228845,6.4625,2.691973307029712e-05,10.748411168061867,10.299911915992144,10.30932552506939,10.996263838148824,8.134111131229867,1.6641820628839708e-05,3.315925925925926,2715293400.0,1715500000.0,9.8925,9.042,-3.478594059861756e-06,-3942182624.680652,-0.4272819284139809
98,WEU,Western Europe,DE,Germany,616338000.0,3.376,3.821,3.0,3.024,4709.6,1410.4,20.239306073937467,Operation,MTH002,-0.1,-0.1,H,Transportation And Storage,52,"Warehousing, storage and support activities for transportation",1.0,8.0,Decent Work and Economic Growth,-0.2078015942121177,-0.199491586370538,-0.11813212865608,-0.09908276417495,-0.3597932774012609,0.0689668263018008,-0.0608007562193887,0.7851468187603178,0.046846786656112,-0.0330270811724363,1,-0.1,1,2355027498.0,1863806112.0,11.463,9.072,1.1990447633649742e-05,8.457570567432265,7.25233739856673,8.293292832252522,8.640358801096479,8.381460508005716,1.0678389188116252e-05,3.234346153846154,2355027498.0,1863806112.0,11.554704000000001,9.844999999999999,-2.4916341335893304e-06,-4012044624.6806526,-0.4896292661510595
