entity_id,region_code,region_name,country_code,country_name,revenue,overall_score,environmental_score,social_score,governance_score,target_scope_1,target_scope_2,revenue_log,activity_type,activity_code,env_score_adjustment,env_score_adjustment_capped,nace_level_1_code,nace_level_1_name,nace_level_2_code,nace_level_2_name,revenue_pct,sdg_id,sdg_name,sdg_confidence
29,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,10912700000.0,2.164,2.381,1.955,2.024,24850.0,30357.0,23.11319308564177,Operation,MTH001,-1.5,-1.0,J,Information and communication,61,Telecommunications,0.75,9.0,"Industry, Innovation and Infrastructure",
29,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,10912700000.0,2.164,2.381,1.955,2.024,24850.0,30357.0,23.11319308564177,Operation,MTH001,-1.5,-1.0,J,Information and communication,63,Information service activities,0.25,9.0,"Industry, Innovation and Infrastructure",
37,WEU,Western Europe,ES,Spain,1279737000.0,3.796,4.05,3.8,3.333,10327.0,22314.0,20.96992042579776,Other,ENVIB010,-0.1,-0.1,I,Accommodation And Food Service Activities,56,Food and beverage service activities,1.0,16.0,"Peace, Justice and Strong Institutions",0.41876311739533884
46,EEU,Eastern Europe,EE,Estonia,492307000.0,2.988,3.172,3.0,2.643,36653.0,89702.0,20.014613065630765,Farming,D.35.7.B,-0.232170692,-0.232170692,H,Transportation And Storage,52,"Warehousing, storage and support activities for transportation",0.02204347,7.0,Affordable and Clean Energy,
46,EEU,Eastern Europe,EE,Estonia,492307000.0,2.988,3.172,3.0,2.643,36653.0,89702.0,20.014613065630765,Farming,D.35.7.B,-0.232170692,-0.232170692,H,Transportation And Storage,52,"Warehousing, storage and support activities for transportation",0.02204347,12.0,Responsible Consumption and Production,
46,EEU,Eastern Europe,EE,Estonia,492307000.0,2.988,3.172,3.0,2.643,36653.0,89702.0,20.014613065630765,Farming,D.35.7.B,-0.232170692,-0.232170692,E,"Water Supply; Sewerage, Waste Management And Remediation Activities",38,"Waste collection, recovery and disposal activities",0.049273762,7.0,Affordable and Clean Energy,
46,EEU,Eastern Europe,EE,Estonia,492307000.0,2.988,3.172,3.0,2.643,36653.0,89702.0,20.014613065630765,Farming,D.35.7.B,-0.232170692,-0.232170692,E,"Water Supply; Sewerage, Waste Management And Remediation Activities",38,"Waste collection, recovery and disposal activities",0.049273762,12.0,Responsible Consumption and Production,
46,EEU,Eastern Europe,EE,Estonia,492307000.0,2.988,3.172,3.0,2.643,36653.0,89702.0,20.014613065630765,Farming,D.35.7.B,-0.232170692,-0.232170692,C,Manufacturing,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.928682768,7.0,Affordable and Clean Energy,
46,EEU,Eastern Europe,EE,Estonia,492307000.0,2.988,3.172,3.0,2.643,36653.0,89702.0,20.014613065630765,Farming,D.35.7.B,-0.232170692,-0.232170692,C,Manufacturing,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.928682768,12.0,Responsible Consumption and Production,
46,EEU,Eastern Europe,EE,Estonia,492307000.0,2.988,3.172,3.0,2.643,36653.0,89702.0,20.014613065630765,Farming,D.35.15.P,0.097795653,0.0773842615799999,C,Manufacturing,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.928682768,7.0,Affordable and Clean Energy,
46,EEU,Eastern Europe,EE,Estonia,492307000.0,2.988,3.172,3.0,2.643,36653.0,89702.0,20.014613065630765,Transportation,H.50.62.B,-0.002204347,-0.002204347,H,Transportation And Storage,52,"Warehousing, storage and support activities for transportation",0.02204347,7.0,Affordable and Clean Energy,
46,EEU,Eastern Europe,EE,Estonia,492307000.0,2.988,3.172,3.0,2.643,36653.0,89702.0,20.014613065630765,Transportation,H.50.62.B,-0.002204347,-0.002204347,H,Transportation And Storage,52,"Warehousing, storage and support activities for transportation",0.02204347,12.0,Responsible Consumption and Production,
46,EEU,Eastern Europe,EE,Estonia,492307000.0,2.988,3.172,3.0,2.643,36653.0,89702.0,20.014613065630765,Farming,D.35.15.P,0.097795653,0.0773842615799999,E,"Water Supply; Sewerage, Waste Management And Remediation Activities",38,"Waste collection, recovery and disposal activities",0.049273762,12.0,Responsible Consumption and Production,
46,EEU,Eastern Europe,EE,Estonia,492307000.0,2.988,3.172,3.0,2.643,36653.0,89702.0,20.014613065630765,Transportation,H.50.62.B,-0.002204347,-0.002204347,E,"Water Supply; Sewerage, Waste Management And Remediation Activities",38,"Waste collection, recovery and disposal activities",0.049273762,7.0,Affordable and Clean Energy,
46,EEU,Eastern Europe,EE,Estonia,492307000.0,2.988,3.172,3.0,2.643,36653.0,89702.0,20.014613065630765,Farming,D.35.15.P,0.097795653,0.0773842615799999,E,"Water Supply; Sewerage, Waste Management And Remediation Activities",38,"Waste collection, recovery and disposal activities",0.049273762,7.0,Affordable and Clean Energy,
46,EEU,Eastern Europe,EE,Estonia,492307000.0,2.988,3.172,3.0,2.643,36653.0,89702.0,20.014613065630765,Farming,D.35.15.P,0.097795653,0.0773842615799999,H,Transportation And Storage,52,"Warehousing, storage and support activities for transportation",0.02204347,12.0,Responsible Consumption and Production,
46,EEU,Eastern Europe,EE,Estonia,492307000.0,2.988,3.172,3.0,2.643,36653.0,89702.0,20.014613065630765,Farming,D.35.15.P,0.097795653,0.0773842615799999,C,Manufacturing,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.928682768,12.0,Responsible Consumption and Production,
46,EEU,Eastern Europe,EE,Estonia,492307000.0,2.988,3.172,3.0,2.643,36653.0,89702.0,20.014613065630765,Transportation,H.50.62.B,-0.002204347,-0.002204347,C,Manufacturing,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.928682768,12.0,Responsible Consumption and Production,
46,EEU,Eastern Europe,EE,Estonia,492307000.0,2.988,3.172,3.0,2.643,36653.0,89702.0,20.014613065630765,Transportation,H.50.62.B,-0.002204347,-0.002204347,C,Manufacturing,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.928682768,7.0,Affordable and Clean Energy,
46,EEU,Eastern Europe,EE,Estonia,492307000.0,2.988,3.172,3.0,2.643,36653.0,89702.0,20.014613065630765,Farming,D.35.15.P,0.097795653,0.0773842615799999,H,Transportation And Storage,52,"Warehousing, storage and support activities for transportation",0.02204347,7.0,Affordable and Clean Energy,
46,EEU,Eastern Europe,EE,Estonia,492307000.0,2.988,3.172,3.0,2.643,36653.0,89702.0,20.014613065630765,Transportation,H.50.62.B,-0.002204347,-0.002204347,E,"Water Supply; Sewerage, Waste Management And Remediation Activities",38,"Waste collection, recovery and disposal activities",0.049273762,12.0,Responsible Consumption and Production,
58,WEU,Western Europe,NO,Norway,655579000.0,3.682,4.566,3.084,2.81,231720.0,3401.0,20.30102937411963,Other,ENVIB025,-0.25,-0.25,I,Accommodation And Food Service Activities,55,Accommodation,0.281057441,8.0,Decent Work and Economic Growth,0.7971609785289753
58,WEU,Western Europe,NO,Norway,655579000.0,3.682,4.566,3.084,2.81,231720.0,3401.0,20.30102937411963,Other,ENVIB010,-0.112422977,-0.112422977,I,Accommodation And Food Service Activities,55,Accommodation,0.281057441,8.0,Decent Work and Economic Growth,0.7953220350224631
58,WEU,Western Europe,NO,Norway,655579000.0,3.682,4.566,3.084,2.81,231720.0,3401.0,20.30102937411963,Other,ENVIB010,-0.112422977,-0.112422977,H,Transportation And Storage,50,Water transport,0.718942559,8.0,Decent Work and Economic Growth,1.0
58,WEU,Western Europe,NO,Norway,655579000.0,3.682,4.566,3.084,2.81,231720.0,3401.0,20.30102937411963,Other,ENVIB025,-0.25,-0.25,H,Transportation And Storage,50,Water transport,0.718942559,8.0,Decent Work and Economic Growth,1.0
60,WEU,Western Europe,IT,Italy,787000000.0,1.902,1.34,2.9,1.714,416298.0,85145.0,20.48373880765233,,,,,C,Manufacturing,17,Manufacture of paper and paper products,1.0,12.0,Responsible Consumption and Production,0.8096923448156427
63,WEU,Western Europe,FR,France,1926233000.0,2.908,3.65,1.797,2.905,12879.0,6132.0,21.378832119640776,Operation,Q.86.2.B,-0.1,-0.1,M,"Professional, scientific and technical activities",72,Scientific research and development,0.5,3.0,Good Health and Wellbeing,
63,WEU,Western Europe,FR,France,1926233000.0,2.908,3.65,1.797,2.905,12879.0,6132.0,21.378832119640776,Disposal ,Q.86.1.P,0.25,0.2475355602999999,M,"Professional, scientific and technical activities",72,Scientific research and development,0.5,3.0,Good Health and Wellbeing,
63,WEU,Western Europe,FR,France,1926233000.0,2.908,3.65,1.797,2.905,12879.0,6132.0,21.378832119640776,Operation,Q.86.2.B,-0.1,-0.1,Q,Education,86,Human health activities,0.5,3.0,Good Health and Wellbeing,
63,WEU,Western Europe,FR,France,1926233000.0,2.908,3.65,1.797,2.905,12879.0,6132.0,21.378832119640776,Disposal ,Q.86.1.P,0.25,0.2475355602999999,Q,Education,86,Human health activities,0.5,3.0,Good Health and Wellbeing,
66,WEU,Western Europe,FR,France,4800000000.0,2.971,3.215,3.593,1.786,17567.0,5803.0,22.29188175506859,,,,,R,Human Health And Social Work Activities,92,Gambling and betting activities,0.303080766,3.0,Good Health and Wellbeing,0.8170083670104302
66,WEU,Western Europe,FR,France,4800000000.0,2.971,3.215,3.593,1.786,17567.0,5803.0,22.29188175506859,,,,,J,Information and communication,59,"Motion picture, video and television programme production, sound recording and music publishing activities",0.696919234,9.0,"Industry, Innovation and Infrastructure",0.43616428027701476
87,WEU,Western Europe,IT,Italy,568178000.0,2.726,3.0,2.677,2.286,2440.0,447.22,20.15794530963378,,,,,J,Information and communication,58,Publishing activities,1.0,9.0,"Industry, Innovation and Infrastructure",0.6172836369725277
90,WEU,Western Europe,IT,Italy,686200000.0,3.181,3.957,2.585,2.5,46555.0,29729.0,20.346679689845924,Other,ENVIB010,-0.1,-0.1,C,Manufacturing,20,Manufacture of chemicals and chemical products,1.0,3.0,Good Health and Wellbeing,0.7862558256520165
98,WEU,Western Europe,DE,Germany,616338000.0,3.376,3.821,3.0,3.024,4709.6,1410.4,20.239306073937467,,,,,H,Transportation And Storage,52,"Warehousing, storage and support activities for transportation",1.0,8.0,Decent Work and Economic Growth,0.45434214134655476
102,WEU,Western Europe,DE,Germany,1316803000.0,3.355,4.4,2.876,2.048,577624.0,170126.0,20.9984726668942,Other,ENVIB010,-0.1,-0.1,C,Manufacturing,20,Manufacture of chemicals and chemical products,1.0,2.0,Zero Hunger,0.4
106,WEU,Western Europe,DE,Germany,426258000.0,2.162,1.95,2.375,2.286,2223.0,131.0,19.87055535706032,Operation,MTH001,-0.5,-0.5,J,Information and communication,61,Telecommunications,0.5,9.0,"Industry, Innovation and Infrastructure",
