entity_id,region_code,region_name,country_code,country_name,revenue,overall_score,environmental_score,social_score,governance_score,target_scope_1,target_scope_2,activity_type,activity_code,env_score_adjustment,env_score_adjustment_capped,sdg_id,sdg_name
29,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,10912700000.0,2.164,2.381,1.955,2.024,24850.0,30357.0,Operation,MTH001,-1.5,-1.0,9.0,"Industry, Innovation and Infrastructure"
37,WEU,Western Europe,ES,Spain,1279737000.0,3.796,4.05,3.8,3.333,10327.0,22314.0,Other,ENVIB010,-0.1,-0.1,16.0,"Peace, Justice and Strong Institutions"
46,EEU,Eastern Europe,EE,Estonia,492307000.0,2.988,3.172,3.0,2.643,36653.0,89702.0,Farming,D.35.7.B,-0.232170692,-0.232170692,7.0,Affordable and Clean Energy
58,WEU,Western Europe,NO,Norway,655579000.0,3.682,4.566,3.084,2.81,231720.0,3401.0,Other,ENVIB025,-0.25,-0.25,8.0,Decent Work and Economic Growth
60,WEU,Western Europe,IT,Italy,787000000.0,1.902,1.34,2.9,1.714,416298.0,85145.0,Operation,MTH002,-0.1,-0.1,12.0,Responsible Consumption and Production
63,WEU,Western Europe,FR,France,1926233000.0,2.908,3.65,1.797,2.905,12879.0,6132.0,Operation,Q.86.2.B,-0.1,-0.1,3.0,Good Health and Wellbeing
66,WEU,Western Europe,FR,France,4800000000.0,2.971,3.215,3.593,1.786,17567.0,5803.0,Operation,MTH002,-0.1,-0.1,3.0,Good Health and Wellbeing
87,WEU,Western Europe,IT,Italy,568178000.0,2.726,3.0,2.677,2.286,2440.0,447.22,Operation,MTH002,-0.1,-0.1,9.0,"Industry, Innovation and Infrastructure"
90,WEU,Western Europe,IT,Italy,686200000.0,3.181,3.957,2.585,2.5,46555.0,29729.0,Other,ENVIB010,-0.1,-0.1,3.0,Good Health and Wellbeing
98,WEU,Western Europe,DE,Germany,616338000.0,3.376,3.821,3.0,3.024,4709.6,1410.4,Operation,MTH002,-0.1,-0.1,8.0,Decent Work and Economic Growth
102,WEU,Western Europe,DE,Germany,1316803000.0,3.355,4.4,2.876,2.048,577624.0,170126.0,Other,ENVIB010,-0.1,-0.1,2.0,Zero Hunger
106,WEU,Western Europe,DE,Germany,426258000.0,2.162,1.95,2.375,2.286,2223.0,131.0,Operation,MTH001,-0.5,-0.5,9.0,"Industry, Innovation and Infrastructure"
972,WEU,Western Europe,IT,Italy,16300000000.0,2.218,2.407,2.056,2.071,104418.0,232269.0,Operation,MTH002,-0.1,-0.1,7.0,Affordable and Clean Energy
999,WEU,Western Europe,NL,Netherlands,4110000000.0,1.987,2.12,2.014,1.714,3684.0,204.0,Operation,MTH001,-0.25,-0.25,16.0,"Peace, Justice and Strong Institutions"
1054,WEU,Western Europe,FR,France,1250000000.0,2.885,3.46,1.984,2.929,1375.0,2510.0,Operation,X.XX.3.B,-0.25,-0.25,4.0,Quality Education
1055,WEU,Western Europe,LU,Luxembourg,1704800000.0,3.133,3.8,2.8,2.333,63214.0,56730.0,Other,ENVIB010,-0.1,-0.1,3.0,Good Health and Wellbeing
1060,WEU,Western Europe,FR,France,563108000.0,2.769,2.798,2.434,3.119,16227.0,163.0,Disposal ,C.25.06.P,0.060046918,0.060046918,7.0,Affordable and Clean Energy
1063,WEU,Western Europe,PT,Portugal,5142600000.0,2.727,2.54,2.203,3.69,31861.0,74807.0,Disposal ,Q.86.1.P,0.03242468,0.03242468,9.0,"Industry, Innovation and Infrastructure"
