entity_id,region_code,region_name,country_code,country_name,revenue,overall_score,environmental_score,social_score,governance_score,target_scope_1,target_scope_2,activity_type,activity_code,env_score_adjustment,env_score_adjustment_capped,sdg_id,sdg_name,Sector_Comp_1,Sector_Comp_2,Sector_Comp_3,Sector_Comp_4,Sector_Comp_5,Sector_Comp_6,Sector_Comp_7,Sector_Comp_8,Sector_Comp_9,Sector_Comp_10,num_env_activities,has_env_activity,avg_env_adjustment,num_sdgs,has_sdg,unique_sdgs
29,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,10912700000.0,2.164,2.381,1.955,2.024,24850.0,30357.0,Operation,MTH001,-1.5,-1.0,9.0,"Industry, Innovation and Infrastructure",-0.10080805223776501,0.6785463518444467,-0.028474764076472703,-0.011727991724553745,-0.029008955563862675,-0.007584020855076171,0.008168014171416067,-0.00528306853966481,0.013921738958712045,-0.03198578424789254,2,1,-1.0,2,1,1
37,WEU,Western Europe,ES,Spain,1279737000.0,3.796,4.05,3.8,3.333,10327.0,22314.0,Other,ENVIB010,-0.1,-0.1,16.0,"Peace, Justice and Strong Institutions",-0.062398196607984444,-0.0756274910950847,-0.050187258115981105,-0.019680286757671455,-0.04539940545024007,-0.011824085659174515,0.016959768132145947,-0.007015420114889081,0.025028150456637026,-0.05498205712977274,1,1,-0.1,1,1,1
46,EEU,Eastern Europe,EE,Estonia,492307000.0,2.988,3.172,3.0,2.643,36653.0,89702.0,Farming,D.35.7.B,-0.232170692,-0.232170692,7.0,Affordable and Clean Energy,-0.09149258005261406,-0.12431228642830398,-0.18551670055316236,1.1408341878278332,-0.7320004855268304,5.367552197946608,-0.20369297466734246,0.042088191991373765,-0.13627004486603742,0.30665758777393803,18,1,-0.052330259140000036,18,1,2
58,WEU,Western Europe,NO,Norway,655579000.0,3.682,4.566,3.084,2.81,231720.0,3401.0,Other,ENVIB025,-0.25,-0.25,8.0,Decent Work and Economic Growth,-0.06595204179458587,-0.07938795112605194,-0.055723160595596385,-0.0224332300198482,-0.05331489394411183,-0.013983135547547782,0.020484686817984075,-0.008537098959549867,0.030817231074300237,-0.06924309564918367,4,1,-0.1812114885,4,1,1
60,WEU,Western Europe,IT,Italy,787000000.0,1.902,1.34,2.9,1.714,416298.0,85145.0,Operation,MTH002,-0.1,-0.1,12.0,Responsible Consumption and Production,-0.06602041501849776,-0.07973959642878187,-0.0567523937658611,-0.024157400872311243,-0.049871114775125056,-0.012592842724073698,0.03334910201555176,-0.0098855139040763,0.03635396302818272,-0.12445168763413843,1,1,-0.1,1,1,1
63,WEU,Western Europe,FR,France,1926233000.0,2.908,3.65,1.797,2.905,12879.0,6132.0,Operation,Q.86.2.B,-0.1,-0.1,3.0,Good Health and Wellbeing,-0.06628539636922245,-0.08042416612337176,-0.04951715568773372,-0.023821254692048967,-0.05616985236945709,-0.016164292190351374,0.04664505334236641,-0.005610908175050681,0.011153678107000381,-0.061099592603395175,4,1,0.07376778014999995,4,1,1
66,WEU,Western Europe,FR,France,4800000000.0,2.971,3.215,3.593,1.786,17567.0,5803.0,Operation,MTH002,-0.1,-0.1,3.0,Good Health and Wellbeing,-0.06382414241107752,-0.07604510996742055,-0.05090508032090944,-0.020074205231771298,-0.04679765948444971,-0.012284417024343897,0.017141373695803576,-0.007939455891770435,0.02605102844550068,-0.05783775327599271,2,1,-0.1,2,1,2
87,WEU,Western Europe,IT,Italy,568178000.0,2.726,3.0,2.677,2.286,2440.0,447.22,Operation,MTH002,-0.1,-0.1,9.0,"Industry, Innovation and Infrastructure",-0.07707564101513344,-0.09865441676688512,-0.1071448501957676,-0.05968955874885496,-0.2525956311239545,-0.1070727695967374,-0.5370630769608588,-0.5037522455870935,-0.3529815359980346,0.23750780055107956,1,1,-0.1,1,1,1
90,WEU,Western Europe,IT,Italy,686200000.0,3.181,3.957,2.585,2.5,46555.0,29729.0,Other,ENVIB010,-0.1,-0.1,3.0,Good Health and Wellbeing,-0.07635798432173443,-0.10339842679229908,-0.07355041448732696,-0.11010366736864788,0.8900510804867808,0.09885137694421467,-0.0962069638318027,0.011202562674327572,-0.03577741728242192,0.11126919471787046,1,1,-0.1,1,1,1
98,WEU,Western Europe,DE,Germany,616338000.0,3.376,3.821,3.0,3.024,4709.6,1410.4,Operation,MTH002,-0.1,-0.1,8.0,Decent Work and Economic Growth,-0.064555199958321,-0.0771715882327762,-0.052783599522700834,-0.016704980487056303,-0.05219338222648075,0.013026864463761362,0.015881449021082523,-0.009681932128512054,0.02209066099305898,-0.05325385183163185,1,1,-0.1,1,1,1
102,WEU,Western Europe,DE,Germany,1316803000.0,3.355,4.4,2.876,2.048,577624.0,170126.0,Other,ENVIB010,-0.1,-0.1,2.0,Zero Hunger,-0.07635798432173435,-0.10339842679229895,-0.07355041448732688,-0.11010366736864764,0.8900510804867782,0.09885137694421435,-0.09620696383180244,0.011202562674327614,-0.03577741728242201,0.1112691947178701,1,1,-0.1,1,1,1
106,WEU,Western Europe,DE,Germany,426258000.0,2.162,1.95,2.375,2.286,2223.0,131.0,Operation,MTH001,-0.5,-0.5,9.0,"Industry, Innovation and Infrastructure",-0.11609087214618302,0.9391871639634889,-0.027984552046304352,-0.012821433274187945,-0.032523898200448924,-0.00977498547440001,-0.0021829996366416436,-0.0017419479559917695,0.011950265994058734,-0.032715911630565774,4,1,-0.3,4,1,1
