entity_id,nace_level_1_code,nace_level_1_name,nace_level_2_code,nace_level_2_name,revenue_pct
1735,A,"Agriculture, Forestry And Fishing",1,"Crop and animal production, hunting and related service activities",0.031104959
1195,A,"Agriculture, Forestry And Fishing",1,"Crop and animal production, hunting and related service activities",0.362905898
4092,A,"Agriculture, Forestry And Fishing",1,"Crop and animal production, hunting and related service activities",0.222189506
3592,A,"Agriculture, Forestry And Fishing",1,"Crop and animal production, hunting and related service activities",0.063878628
3169,A,"Agriculture, Forestry And Fishing",1,"Crop and animal production, hunting and related service activities",0.422809972
3536,A,"Agriculture, Forestry And Fishing",1,"Crop and animal production, hunting and related service activities",1
3958,A,"Agriculture, Forestry And Fishing",1,"Crop and animal production, hunting and related service activities",1
1383,A,"Agriculture, Forestry And Fishing",2,Forestry and logging,0.009548184
3356,B,Mining And Quarrying,6,Extraction of crude petroleum and natural gas,1
3035,B,Mining And Quarrying,6,Extraction of crude petroleum and natural gas,0.333333333
1283,B,Mining And Quarrying,6,Extraction of crude petroleum and natural gas,0.145158079
1843,B,Mining And Quarrying,7,Mining of metal ores,0.208593786
10054,B,Mining And Quarrying,8,Other mining and quarrying,0.216891219
1456,B,Mining And Quarrying,9,Mining support service activities,0.5
3742,C,Manufacturing,10,Manufacture of food products,1
2165,C,Manufacturing,24,Manufacture of basic metals,0.131
2066,C,Manufacturing,24,Manufacture of basic metals,0.19053463
1074,C,Manufacturing,10,Manufacture of food products,1
1735,C,Manufacturing,10,Manufacture of food products,0.031104959
1195,C,Manufacturing,10,Manufacture of food products,0.362905898
4037,C,Manufacturing,10,Manufacture of food products,1
1824,C,Manufacturing,10,Manufacture of food products,1
1064,C,Manufacturing,10,Manufacture of food products,1
2728,C,Manufacturing,10,Manufacture of food products,1
1249,C,Manufacturing,10,Manufacture of food products,0.02295506
2693,C,Manufacturing,10,Manufacture of food products,1
10702,C,Manufacturing,10,Manufacture of food products,1
10184,C,Manufacturing,10,Manufacture of food products,1
1211,C,Manufacturing,10,Manufacture of food products,1
3725,C,Manufacturing,10,Manufacture of food products,1
2199,C,Manufacturing,10,Manufacture of food products,1
1179,C,Manufacturing,10,Manufacture of food products,1
1710,C,Manufacturing,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.333333333
1248,C,Manufacturing,10,Manufacture of food products,0.131396046
1851,C,Manufacturing,10,Manufacture of food products,1
3346,C,Manufacturing,10,Manufacture of food products,1
10307,C,Manufacturing,10,Manufacture of food products,0.050973123
97,C,Manufacturing,10,Manufacture of food products,1
2998,C,Manufacturing,11,Manufacture of beverages,1
10765,C,Manufacturing,11,Manufacture of beverages,1
1493,C,Manufacturing,13,Manufacture of textiles,0.072451218
1283,C,Manufacturing,14,Manufacture of wearing apparel,0.059838934
4205,C,Manufacturing,13,Manufacture of textiles,0.164354644
