entity_id,region_code,region_name,country_code,country_name,revenue,overall_score,environmental_score,social_score,governance_score,target_scope_1,target_scope_2
1782,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,352806000,2.988,3.9,1.75,2.833,60,0
3918,NAM,Northern America,US,United States of America,1513700000,2.77,3.004,2.942,2.143,265,0
10299,WEU,Western Europe,FR,France,1.56E+09,2.501,2.979,2.56,1.571,1136,0
2324,NAM,Northern America,US,United States of America,12385107000,3.207,3.776,3,2.429,1468,0
1206,WEU,Western Europe,ES,Spain,2.98E+09,1.998,2.138,1.785,2,1802,0
1418,NAM,Northern America,US,United States of America,3588600000,2.77,3.083,3,1.929,2659,0
4021,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1.47E+09,2.466,2.45,2.5,2.452,2913,0
1494,NAM,Northern America,US,United States of America,1.40E+10,3.383,3.022,4.9,2.214,4319,0
3173,WEU,Western Europe,ES,Spain,857984000,3.397,3.815,3,3.119,10494,0
1331,NAM,Northern America,US,United States of America,2.36E+09,2.499,2.65,2.45,2.286,10725,0
10153,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1686002000,3.5,4.65,2.25,2.929,57313,0
4037,WEU,Western Europe,IT,Italy,1276800000,3.028,3.569,3.013,2.071,59534,0
1735,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,756321000,3.073,3.807,2.112,2.905,71077,0
2862,NAM,Northern America,US,United States of America,203366562,3.039,3.258,2.9,2.81,6.11,1.76
1618,WEU,Western Europe,DE,Germany,1.54E+09,2.843,3.9,1.9,2.071,112,3
2306,WEU,Western Europe,IE,Ireland,2.47E+09,3.79,4.9,3,2.738,184,43
1645,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,535412000,2.992,3.1,3,2.786,21,44
2149,WEU,Western Europe,FR,France,580900000,2.915,3.65,2,2.69,1290.68,76.4
4176,WEU,Western Europe,ES,Spain,9.36E+08,2.925,3.5,2.1,2.881,3342.11,88.81
1227,WEU,Western Europe,JE,Jersey,6.61E+08,3.374,4,2.012,3.881,637,91
1665,WEU,Western Europe,SE,Sweden,1.04E+09,2.743,2.948,3.053,2,354,93
3800,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,4.69E+08,3.264,3.944,3,2.357,26,108
1214,WEU,Western Europe,LU,Luxembourg,1116728000,2.449,2.465,2.143,2.786,747,111
