entity_id,region_code,region_name,country_code,country_name,revenue,overall_score,environmental_score,social_score,governance_score,target_scope_1,target_scope_2,revenue_log
1782,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,352806000.0,2.988,3.9,1.75,2.833,60.0,0.0,19.681428891589437
3918,NAM,Northern America,US,United States of America,1513700000.0,2.77,3.004,2.942,2.143,265.0,0.0,21.137822822393428
10299,WEU,Western Europe,FR,France,1560000000.0,2.501,2.979,2.56,1.571,1136.0,0.0,21.16795165884888
2324,NAM,Northern America,US,United States of America,12385107000.0,3.207,3.776,3.0,2.429,1468.0,0.0,23.2397605394144
1206,WEU,Western Europe,ES,Spain,2980000000.0,1.998,2.138,1.785,2.0,1802.0,0.0,21.815189137799294
1418,NAM,Northern America,US,United States of America,3588600000.0,2.77,3.083,3.0,1.929,2659.0,0.0,22.0010279915215
4021,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1470000000.0,2.466,2.45,2.5,2.452,2913.0,0.0,21.10852823841733
1494,NAM,Northern America,US,United States of America,14000000000.0,3.383,3.022,4.9,2.214,4319.0,0.0,23.362323166633097
3173,WEU,Western Europe,ES,Spain,857984000.0,3.397,3.815,3.0,3.119,10494.0,0.0,20.570096010425235
1331,NAM,Northern America,US,United States of America,2360000000.0,2.499,2.65,2.45,2.286,10725.0,0.0,21.58192745640766
10153,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1686002000.0,3.5,4.65,2.25,2.929,57313.0,0.0,21.245625883358112
4037,WEU,Western Europe,IT,Italy,1276800000.0,3.028,3.569,3.013,2.071,59534.0,0.0,20.967622785443027
1735,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,756321000.0,3.073,3.807,2.112,2.905,71077.0,0.0,20.443976448522182
2862,NAM,Northern America,US,United States of America,203366562.0,3.039,3.258,2.9,2.81,6.11,1.76,19.13052063770134
1618,WEU,Western Europe,DE,Germany,1540000000.0,2.843,3.9,1.9,2.071,112.0,3.0,21.1550482540213
2306,WEU,Western Europe,IE,Ireland,2470000000.0,3.79,4.9,3.0,2.738,184.0,43.0,21.627483987991155
1645,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,535412000.0,2.992,3.1,3.0,2.786,21.0,44.0,20.098547103816124
2149,WEU,Western Europe,FR,France,580900000.0,2.915,3.65,2.0,2.69,1290.68,76.4,20.180089184684228
4176,WEU,Western Europe,ES,Spain,936000000.0,2.925,3.5,2.1,2.881,3342.11,88.81,20.65712603551024
1227,WEU,Western Europe,JE,Jersey,661000000.0,3.374,4.0,2.012,3.881,637.0,91.0,20.30926439932882
1665,WEU,Western Europe,SE,Sweden,1040000000.0,2.743,2.948,3.053,2.0,354.0,93.0,20.76248655106123
3800,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,469000000.0,3.264,3.944,3.0,2.357,26.0,108.0,19.96611332854275
1214,WEU,Western Europe,LU,Luxembourg,1116728000.0,2.449,2.465,2.143,2.786,747.0,111.0,20.83366881887554
2279,WEU,Western Europe,IE,Ireland,7996644000.0,3.147,4.238,3.0,1.357,3478.0,118.0,22.80228779073656
2929,NAM,Northern America,US,United States of America,1120000000.0,2.984,3.1,2.935,2.833,18.88,126.0,20.83659452314627
1140,WEU,Western Europe,NL,Netherlands,417000000.0,2.776,2.793,3.0,2.476,78.0,126.0,19.848596782161156
3632,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1380000000.0,2.557,2.6,2.5,2.548,1037.0,126.0,21.04534933684016
