entity_id,region_code,region_name,country_code,country_name,revenue,overall_score,environmental_score,social_score,governance_score,target_scope_1,target_scope_2,revenue_log,activity_type,activity_code,env_score_adjustment,env_score_adjustment_capped,nace_level_1_code,nace_level_1_name,nace_level_2_code,nace_level_2_name,revenue_pct,sdg_id,sdg_name,Sector_Comp_1,Sector_Comp_2,Sector_Comp_3,Sector_Comp_4,Sector_Comp_5,Sector_Comp_6,Sector_Comp_7,Sector_Comp_8,Sector_Comp_9,Sector_Comp_10,num_activities,avg_env_score_adjustment,has_activity,revenue_x_environmental_score,revenue_x_governance_score,E_x_S,S_x_G,country_ts2_per_revenue,target_scope_1_log,target_scope_2_log
3350,WEU,Western Europe,FR,France,1655100000.0,2.666,3.888,1.249,2.167,40835.0,19248.0,21.22712726751496,Other,ENVIB010,-0.1,-0.1,Q,Education,88,Social work activities without accommodation,0.09,3.0,Good Health and Wellbeing,-0.2583030270350087,-0.2961860527149297,-0.2226785254128633,-0.3975640028494728,-1.1122480336015783,0.0731376994176331,0.1717076014095085,7.648436319137699,2.884382129072675,4.21447416851241,2,-0.1,1,6435028800.0,3586601699.9999995,4.856112,2.706583,1.4630044194219064e-05,10.617319324288903,9.865214390314636
2339,NAM,Northern America,US,United States of America,790723000.0,2.803,3.901,2.184,1.571,183.0,6091.0,20.48845827603251,End-use,J.61.2.B,-0.153072415,-0.153072415,G,Wholesale And Retail Trade,46,"Wholesale trade, except of motor vehicles and motorcycles",0.110049333,9.0,"Industry, Innovation and Infrastructure",-0.1164462494747787,-0.115867718740472,-0.0448275012648727,-0.0717748070225032,-0.1424603154955586,-0.0248417211680259,-0.1451662521870111,0.0312332033580385,0.0873655076512219,-0.1771526720093515,2,-0.153072415,1,3084610423.0,1242225833.0,8.519784,3.431064,4.5487802618851305e-05,5.214935757608986,8.714731714015052
1334,WEU,Western Europe,NL,Netherlands,2791300000.0,2.467,2.655,2.218,2.429,21100.0,86300.0,21.74977327443782,Manufacturing,C.26.1.B,-0.193190025,-0.193190025,J,Information and communication,61,Telecommunications,0.71838017,9.0,"Industry, Innovation and Infrastructure",0.1510527269589191,-0.1737931995992451,-0.1270063435971488,0.1097493834316687,-0.4511272325316019,-0.2730714958271505,-0.6834751836937744,-1.0804372304931225,2.6904103701089173,0.3173531186707787,3,-0.1931900249999999,1,7410901499.999999,6780067699.999999,5.888789999999999,5.387522,2.870823443040889e-05,9.957075711706056,11.3655964644899
3173,WEU,Western Europe,ES,Spain,857984000.0,3.397,3.815,3.0,3.119,10494.0,0.0,20.570096010425235,Operation,MTH001,-1.0,-1.0,R,Human Health And Social Work Activities,93,Sports activities and amusement and recreation activities,1.0,3.0,Good Health and Wellbeing,-0.2402488645421887,-0.2823750733723182,-0.3165502914095665,0.7513106053580666,-0.7469539331810958,-0.6194024719951653,-1.553737231637513,-2.7635759297559304,5.808652929394587,1.3076678642638175,1,-1.0,1,3273208960.0,2676052096.0,11.445,9.357,1.0041005413315722e-05,9.258654232254733,0.0
2708,WEU,Western Europe,FR,France,4180000000.0,2.662,3.0,2.25,2.548,84296.0,2526.0,22.15357708372231,Manufacturing,F.42.41.B,-0.75,-0.61698286428,F,Construction,42,Civil engineering,0.5,9.0,"Industry, Innovation and Infrastructure",-0.1558269084525261,-0.1210040736842703,1.7179245774888043,0.0667843595264285,0.0548201954329027,0.0237088244945631,-0.06109084658102,-0.0047056623452352,0.0920801500543802,-0.0367599273850473,2,-0.75,1,12540000000.0,10650640000.0,6.75,5.7330000000000005,1.4630044194219064e-05,11.342101556168096,7.834788107388194
1835,NAM,Northern America,US,United States of America,4300000000.0,2.786,1.955,3.993,2.833,59511.0,58870.0,22.181880859878486,Disposal ,Q.86.1.P,0.03242468,0.03242468,F,Construction,43,Specialised construction activities,0.54982032,7.0,Affordable and Clean Energy,-0.6813789178052571,7.453457316782681,0.4901430270114373,0.1913380567458538,-0.1802445219131959,0.045305731625475,-0.0297977102331405,0.2046984625391435,-0.0544498878404839,-0.2682493073361618,3,0.03242468,1,8406500000.0,12181900000.0,7.806315,11.312169,4.5487802618851305e-05,10.993933251871177,10.983103888458638
2925,NAM,Northern America,US,United States of America,154000000000.0,3.07,3.516,2.814,2.571,9998.0,54646.0,25.760218439366533,Operation,MTH002,-0.1,-0.1,K,Financial and insurance activities,65,"Insurance, reinsurance and pension funding, except compulsory social security",0.960168573,9.0,"Industry, Innovation and Infrastructure",-0.2014995112672822,-0.1796270334879531,-0.140355921027095,-0.320599256844203,0.3726266609977455,0.0248849016727751,0.0082629430838238,0.0493003563307553,-0.0665963813736789,-0.1216205856793095,2,-0.1,1,541464000000.0,395934000000.0,9.894024,7.234794000000001,4.5487802618851305e-05,9.21024036697585,10.908649597312916
1343,WEU,Western Europe,FI,Finland,494000000.0,2.92,3.192,3.0,2.333,3301.0,5431.0,20.01804607717649,Operation,MTH002,-0.267676768,-0.267676768,N,"Professional, Scientific And Technical Activities",77,Rental and leasing activities,1.0,3.0,Good Health and Wellbeing,-0.1286528438095409,-0.0775263641179352,-0.2406702528964655,-0.6263719328499866,2.1435012809071545,0.4171986207979926,-0.0860027585705394,-0.0030296484588342,0.2320438204987466,0.2801855368595848,1,-0.267676768,1,1576848000.0,1152502000.0,9.576,6.9990000000000006,9.665055978216193e-06,8.102283624480073,8.600062669238532
4205,WEU,Western Europe,IT,Italy,362000000.0,3.304,3.9,3.0,2.595,14043.0,4081.0,19.707154772552474,Other,ENVIB010,-0.1,-0.1,C,Manufacturing,29,"Manufacture of motor vehicles, trailers and semi-trailers",0.173552473,3.0,Good Health and Wellbeing,-0.3358529670864779,-0.3072601975074839,-0.3339089344486793,-0.3274810925881586,-1.293418923455084,-0.6721018360402606,-2.9186310026036018,-2.5924570835443044,-8.923207462983529,12.298875576989795,3,-0.1,1,1411800000.0,939390000.0,11.7,7.785,2.691973307029712e-05,9.549950537288325,8.31434234336979
3036,NAM,Northern America,US,United States of America,1610000000.0,3.692,4.5,3.235,2.786,6409.88,17366.52,21.1995000165639,Operation,MTH002,-0.1,-0.1,M,"Professional, scientific and technical activities",74,"Other professional, scientific and technical activities",0.632629108,3.0,Good Health and Wellbeing,-0.3163643093207079,0.0852229478743495,0.1020166065198403,-0.9577502253479696,-0.1723589161027483,-1.815745713214887,5.782620450789492,-1.85270207819303,0.5572880860306222,1.7563345780422228,3,-0.1,1,7245000000.0,4485460000.0,14.5575,9.01271,4.5487802618851305e-05,8.765751825983346,9.762357074142592
1224,WEU,Western Europe,NL,Netherlands,1732400000.0,2.978,3.413,2.9,2.286,32666.0,3860.0,21.27277356788198,Raw materials,C.28.94.P,0.176328502,0.176328502,G,Wholesale And Retail Trade,46,"Wholesale trade, except of motor vehicles and motorcycles",0.29468599,8.0,Decent Work and Economic Growth,-0.1349703220558008,-0.0959444494117457,-0.2122076845395429,-0.5087392185779716,1.4897923517185463,0.2730479333669221,-0.1072049831867357,0.0471156932398818,0.0868632657053586,0.0968755464896952,2,0.176328502,1,5912681200.0,3960266400.0,9.8977,6.6294,2.870823443040889e-05,10.394120673014172,8.258681496264236
1925,NAM,Northern America,US,United States of America,1318471000.0,2.948,3.097,3.0,2.619,358.0,1166.0,20.999738569583247,Disposal ,Q.86.1.P,0.03242468,0.03242468,M,"Professional, scientific and technical activities",72,Scientific research and development,0.06484936,3.0,Good Health and Wellbeing,-0.1916416777655588,-0.205095705122765,-0.121571737562317,-0.2437980324604603,-0.2638396830926463,-0.1924578190706669,0.3043792591078004,0.3906807306057813,-0.0413653598631231,-0.2917745242051797,3,0.03242468,1,4083304687.0,3453075549.0000005,9.291,7.857000000000001,4.5487802618851305e-05,5.883322388488279,7.062191632286556
1289,NAM,Northern America,CA,Canada,10000000000.0,2.773,3.338,2.925,1.571,534314.0,715990.0,23.02585093004045,End-use,C.27.70.B,-0.25,-0.25,C,Manufacturing,27,Manufacture of electrical equipment,1.0,9.0,"Industry, Innovation and Infrastructure",-0.1572932877362746,-0.034404417054559,-0.1172537652846581,-0.0087266328461637,-0.2889956363799135,-0.1580603894896838,-0.6117912536115998,-0.5510433024724455,-0.3698691979994674,0.8335584643397108,1,-0.25,1,33380000000.0,15710000000.0,9.76365,4.595174999999999,8.23447626268811e-06,13.188740831667458,13.48142287603138
1331,NAM,Northern America,US,United States of America,2360000000.0,2.499,2.65,2.45,2.286,10725.0,0.0,21.58192745640766,Operation,MTH002,-0.1,-0.1,J,Information and communication,61,Telecommunications,1.0,8.0,Decent Work and Economic Growth,-0.1122858332852737,-0.1128802255283567,-0.0325536421480019,-0.0525562522043147,-0.150824262637837,-0.0190141319591883,-0.1435852824924904,0.0144278019593219,0.1303963870415138,-0.1567845365653566,1,-0.1,1,6254000000.0,5394960000.0,6.492500000000001,5.600700000000001,4.5487802618851305e-05,9.280425979542873,0.0
