iter	RMSE
0	2.599337986
1	2.572477178
2	2.524075473
3	2.486662468
4	2.44298952
5	2.417240602
6	2.389409788
7	2.356258678
8	2.32464541
9	2.282379027
10	2.255458335
11	2.238489401
12	2.201511124
13	2.180205539
14	2.163421546
15	2.150702193
16	2.13450252
17	2.118545671
18	2.102150101
19	2.091001275
20	2.077588895
21	2.06749842
22	2.062108979
23	2.049248264
24	2.039174037
25	2.024757833
26	2.010666432
27	1.999604235
28	1.990437048
29	1.977067318
30	1.956779495
31	1.950830892
32	1.939179557
33	1.925100258
34	1.918140307
35	1.906072529
36	1.899732415
37	1.885700784
38	1.874862758
39	1.866438439
40	1.860284623
41	1.850712039
42	1.838672611
43	1.826812985
44	1.81869445
45	1.814625923
46	1.80759543
47	1.800090597
48	1.793706332
49	1.785031811
50	1.77646579
51	1.768461871
