iter	Passed	Remaining
0	0	157
1	1	144
2	2	152
3	2	145
4	3	142
5	4	138
6	5	139
7	6	145
8	6	145
9	7	142
10	8	140
11	8	139
12	9	137
13	10	136
14	11	136
15	11	134
16	12	132
17	13	132
18	13	131
19	14	130
20	15	129
21	15	128
22	16	127
23	17	126
24	18	126
25	18	125
26	19	124
27	20	123
28	20	122
29	21	121
30	22	121
31	22	120
32	23	119
33	24	118
34	24	117
35	25	116
36	26	116
37	27	118
38	28	117
39	29	116
40	29	115
41	30	114
42	31	114
43	31	113
44	32	112
45	33	111
46	34	110
47	34	109
48	35	109
49	36	108
50	36	107
51	37	106
